x,y
1286.26,1880.38
1286.43,197.13
1286.59,1454.47
1286.88,739.42
1286.88,741.11
1287.0,1463.61
1288.53,3178.65
1289.12,738.07
1289.29,1345.0
1291.64,743.68
1291.79,736.38
1292.31,744.17
1299.65,727.77
1302.04,2002.7
1307.4,430.85
1314.7,129.31
1316.33,270.78
1320.15,268.83
1322.57,698.96
1324.51,1962.93
1325.14,2610.94
1327.2,2109.59
1330.75,1976.04
1331.67,2025.34
1331.97,2025.45
1332.09,2009.1
1332.56,2001.58
1332.59,2028.02
1332.89,2024.0
1333.7,2022.55
1334.11,165.57
1335.23,2208.42
1335.53,167.79
1336.1,171.22
1338.12,2207.99
1338.24,176.77
1338.51,1403.38
1340.38,410.54
1341.52,2208.57
1342.28,1400.93
1344.76,2209.28
1345.07,419.41
1345.62,3548.38
1346.03,1398.46
1347.4,2208.86
1357.98,2338.78
1358.23,1873.55
1360.81,400.73
1363.07,2813.06
1365.73,3144.88
1365.98,1996.73
1367.65,2625.03
1367.97,1247.17
1368.5,1762.2
1369.27,1247.96
1369.46,2430.19
1369.46,2504.67
1369.56,407.89
1370.11,1762.69
1370.11,2625.74
1371.21,1251.02
1372.19,235.18
1372.65,2501.48
1373.0,1764.84
1373.7,237.4
1373.82,2652.39
1373.98,1254.43
1374.1,2628.15
1374.4,240.86
1374.98,2608.19
1375.55,2803.07
1375.82,2589.11
1376.59,2630.03
1376.68,246.33
1377.05,2498.91
1377.49,1767.6
1379.09,2630.76
1383.2,1140.69
1386.28,2631.6
1387.6,3134.71
1389.01,2490.96
1389.15,879.63
1390.57,882.61
1390.66,2460.74
1391.0,3647.43
1391.75,884.77
1394.96,890.42
1395.82,1619.6
1396.12,2635.92
1397.37,2106.44
1397.67,2846.99
1398.83,3164.37
1398.98,2434.69
1398.99,2637.78
1404.28,1571.82
1405.99,3119.21
1406.82,1552.41
1407.67,1338.58
1408.96,2480.27
1411.17,3111.99
1414.75,2479.5
1415.56,374.8
1416.14,2478.17
1419.28,1290.88
1421.96,1294.2
1423.17,382.3
1424.45,1297.55
1428.42,951.93
1430.29,1322.25
1430.63,1300.99
1432.71,940.86
1433.79,342.11
1434.33,1312.08
1434.43,1304.18
1434.99,342.57
1435.72,946.7
1436.23,1309.67
1436.42,348.18
1437.02,1989.8
1437.62,1308.37
1438.84,1307.2
1440.14,1972.85
1440.68,1312.21
1440.71,1304.57
1440.8,2199.15
1441.19,1871.29
1441.55,2200.13
1442.06,2001.35
1443.5,357.07
1443.85,1879.58
1443.87,941.41
1444.82,1315.72
1444.99,1791.87
1446.28,1893.94
1446.39,361.98
1447.36,365.28
1447.72,1871.41
1449.22,1854.61
1449.54,3891.69
1450.86,373.34
1451.82,1151.06
1452.08,1794.25
1453.17,1794.44
1453.9,1259.18
1455.5,378.86
1456.75,380.52
1457.22,385.5
1457.3,2749.95
1458.5,386.42
1461.35,2161.94
1463.06,1796.78
1463.93,1152.75
1464.98,1000.81
1468.14,1272.05
1469.03,1878.76
1470.26,2916.02
1471.02,3890.07
1472.55,2198.61
1473.22,3864.32
1473.54,2199.56
1474.85,2764.43
1476.77,1269.6
1477.31,1683.0
1478.9,991.03
1481.03,1650.65
1481.34,1266.75
1481.75,3871.37
1482.14,3871.23
1482.45,759.32
1482.99,2247.52
1483.01,2786.83
1483.4,2252.58
1483.55,2252.85
1485.33,1612.38
1490.94,510.03
1492.2,2454.15
1492.91,2274.82
1493.32,2453.06
1493.82,498.15
1496.03,112.34
1496.48,505.17
1499.16,1623.0
1499.94,1036.28
1501.07,1613.81
1509.19,1001.04
1510.13,3900.52
1510.85,2413.95
1511.68,2376.61
1512.66,2423.41
1514.51,1972.07
1521.24,2448.44
1521.55,2680.2
1526.68,2448.25
1529.05,2682.0
1530.97,2447.29
1536.7,1393.34
1536.72,2028.2
1537.53,112.44
1539.28,2869.3
1540.73,4140.49
